Net Status Report
Filename     : C:\Users\040602\Desktop\PRJ-US1SBC (11-13-2018 2-40-42 PM)_1\PWB-US1SBC.PcbDoc
Date         : 3/20/2019
Time         : 2:32:15 PM
Time Elapsed : 00:00:01

Nets, Layer, Length
    HD_GPIO_1, Signal Layers Only, 1640.047mils
    HD_GPIO_10, Signal Layers Only, 1509.384mils
    HD_GPIO_11, Signal Layers Only, 1442.938mils
    HD_GPIO_12, Signal Layers Only, 1597.907mils
    HD_GPIO_13, Signal Layers Only, 1315.447mils
    HD_GPIO_14, Signal Layers Only, 1419.323mils
    HD_GPIO_15, Signal Layers Only, 1532.39mils
    HD_GPIO_2, Signal Layers Only, 1540.951mils
    HD_GPIO_3, Signal Layers Only, 1499.21mils
    HD_GPIO_4, Signal Layers Only, 1469.192mils
    HD_GPIO_5, Signal Layers Only, 1642.755mils
    HD_GPIO_6, Signal Layers Only, 1381.185mils
    HD_GPIO_7, Signal Layers Only, 1238.668mils
    HD_GPIO_8, Signal Layers Only, 1808.012mils
    HD_GPIO_9, Signal Layers Only, 2553.932mils
    HSEXP_I2C2_SCL, Signal Layers Only, 1721.774mils
    HSEXP_I2C2_SDA, Signal Layers Only, 1713.72mils
    HSEXP_I2C3_SCL, Signal Layers Only, 1718.908mils
    HSEXP_I2C3_SDA, Signal Layers Only, 1756.701mils
    HSIC_DATA, Signal Layers Only, 901.339mils
    HSIC_STR, Signal Layers Only, 1233.365mils
    JTAG_TCK, Signal Layers Only, 778.9mils
    JTAG_TDI, Signal Layers Only, 938.112mils
    JTAG_TDO, Signal Layers Only, 1242.486mils
    JTAG_TMS, Signal Layers Only, 875.415mils
    LSEXP_I2C0_SCL, Signal Layers Only, 1711.065mils
    LSEXP_I2C0_SDA, Signal Layers Only, 1721.771mils
    LSEXP_I2C1_SCL, Signal Layers Only, 1715.579mils
    LSEXP_I2C1_SDA, Signal Layers Only, 1721.146mils
    MIO0_UART1_TX, Signal Layers Only, 2263.513mils
    MIO10_SPI1_MISO, Signal Layers Only, 795.432mils
    MIO11_SPI1_MOSI, Signal Layers Only, 483.89mils
    MIO12_I2C_MUX_RESET_N, Signal Layers Only, 2227.761mils
    MIO13_SD0_DAT0, Signal Layers Only, 409.794mils
    MIO14_SD0_DAT1, Signal Layers Only, 426.517mils
    MIO15_SD0_DAT2, Signal Layers Only, 426.4mils
    MIO16_SD0_DAT3, Signal Layers Only, 426.56mils
    MIO17_PS_LED3, Signal Layers Only, 2702.223mils
    MIO18_PS_LED2, Signal Layers Only, 2711.509mils
    MIO19_PS_LED1, Signal Layers Only, 3209.106mils
    MIO1_UART1_RX, Signal Layers Only, 2247.024mils
    MIO20_PS_LED0, Signal Layers Only, 3002.986mils
    MIO21_SD0_CMD, Signal Layers Only, 426.736mils
    MIO22_SD0_CLK, Signal Layers Only, 426.231mils
    MIO23_GPIO_PB, Signal Layers Only, 582.64mils
    MIO24_SD0_DETECT, Signal Layers Only, 1121.126mils
    MIO25_VBUS_DET, Signal Layers Only, 5012.157mils
    MIO25_VBUS_DET_LS, Signal Layers Only, 787.922mils
    MIO26_PWR_INT, Signal Layers Only, 2561.289mils
    MIO27_DP_AUX_OUT, Signal Layers Only, 1355.517mils
    MIO28_DP_HPD, Signal Layers Only, 1188.113mils
    MIO29_DP_OE, Signal Layers Only, 1023.969mils
    MIO2_UART0_RX_BT_HCI_TX, Signal Layers Only, 2954.776mils
    MIO30_DP_AUX_IN, Signal Layers Only, 906.292mils
    MIO31_MHTN_ALRT, Signal Layers Only, 2361.964mils
    MIO32, Signal Layers Only, 503.918mils
    MIO33, Signal Layers Only, 762.75mils
    MIO34_POWER_KILL_N, Signal Layers Only, 1792.269mils
    MIO35, Signal Layers Only, 387.474mils
    MIO36_PS_GPIO1_0, Signal Layers Only, 1150.722mils
    MIO37_PS_GPIO1_1, Signal Layers Only, 1148.723mils
    MIO38_SPI0_SCLK, Signal Layers Only, 1875.819mils
    MIO39_PS_GPIO1_2, Signal Layers Only, 966.048mils
    MIO3_UART0_TX_BT_HCI_RX, Signal Layers Only, 3009.336mils
    MIO40_PS_GPIO1_3, Signal Layers Only, 1209.063mils
    MIO41_SPI0_CS, Signal Layers Only, 1781.886mils
    MIO42_SPI0_MISO, Signal Layers Only, 1688.746mils
    MIO43_SPI0_MOSI, Signal Layers Only, 1503.136mils
    MIO44_PS_GPIO1_4, Signal Layers Only, 993.026mils
    MIO45_PS_GPIO1_5, Signal Layers Only, 1108.987mils
    MIO46_SD1_D0, Signal Layers Only, 1270.451mils
