Net Status Report
Filename     : C:\Users\040602\Desktop\PRJ-US1SBC (11-13-2018 2-40-42 PM)_1\PWB-US1SBC.PcbDoc
Date         : 3/20/2019
Time         : 2:32:15 PM
Time Elapsed : 00:00:01

Nets, Layer, Length
    ULPI0_D_N, Signal Layers Only, 143.967mils
    ULPI0_D_P, Signal Layers Only, 143.85mils
    ULPI1_D_N, Signal Layers Only, 1095.147mils
    ULPI1_D_P, Signal Layers Only, 1090.833mils
    USB2D1_N, Signal Layers Only, 1118.279mils
    USB2D1_P, Signal Layers Only, 1118.224mils
    USB2D2_N, Signal Layers Only, 207.63mils
    USB2D2_P, Signal Layers Only, 210.702mils
    USB2D3_N, Signal Layers Only, 2327.331mils
    USB2D3_P, Signal Layers Only, 2325.506mils
    USB3_TX2_N, Signal Layers Only, 426.278mils
    USB3_TX2_P, Signal Layers Only, 426.078mils
    USB5744_SCL, Signal Layers Only, 5084.617mils
    USB5744_SDA, Signal Layers Only, 5084mils
    USB_CLKA, Signal Layers Only, 884.828mils
    USB_CLKB, Signal Layers Only, 1500.366mils
    USB_HUB_25MHz, Signal Layers Only, 1840.298mils
    USB_ID_3V3, Signal Layers Only, 347.065mils
    USB_PORTA_VBUS, Signal Layers Only, 371.673mils
    USB_PORTB_VBUS, Signal Layers Only, 499.887mils
    USB_RST_N, Signal Layers Only, 3468.462mils
    USB_SSRX1_N, Signal Layers Only, 1046.012mils
    USB_SSRX1_P, Signal Layers Only, 1048.551mils
    USB_SSRX2_N, Signal Layers Only, 198.067mils
    USB_SSRX2_P, Signal Layers Only, 198.906mils
    USB_SSTX1_N, Signal Layers Only, 1812.693mils
    USB_SSTX1_P, Signal Layers Only, 1812.286mils
    USB_SSTX2_N, Signal Layers Only, 665.614mils
    USB_SSTX2_P, Signal Layers Only, 726.186mils
    UT1_N, Signal Layers Only, 102.084mils
    UT1_P, Signal Layers Only, 102.084mils
    UT2_N, Signal Layers Only, 133.759mils
    UT2_P, Signal Layers Only, 71.849mils
count : 531
